1,Unlocking Android,1933988673,416,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ableson.jpg,W. Frank Ableson,Open Source
4,Flex 3 in Action,1933988746,576,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ahmed.jpg,Tariq Ahmed with Jon Hirschi,Internet
5,Flex 4 in Action,1935182420,600,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ahmed2.jpg,Tariq Ahmed,Internet
6,Collective Intelligence in Action,1933988312,425,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/alag.jpg,Satnam Alag,Internet
7,Zend Framework in Action,1933988320,432,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/allen.jpg,Rob Allen,Web Development
8,Flex on Java,1933988797,265,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/allmon.jpg,Bernerd Allmon,Internet
9,Griffon in Action,1935182234,375,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/almiray.jpg,Andres Almiray,Java
11,Flexible Rails,1933988509,592,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/armstrong.jpg,Peter Armstrong,Web Development
13,Hello! Flex 4,1933988762,258,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/armstrong3.jpg,Peter Armstrong,Internet
14,Coffeehouse,1884777384,316,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/asher.jpg,Levi Asher,Miscellaneous
15,Team Foundation Server 2008 in Action,1933988592,344,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/azher.jpg,Jamil Azher,Microsoft .NET
16,Brownfield Application Development in .NET,1933988711,550,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/baley.jpg,Kyle Baley,Microsoft
